状态ID,页面ID,平台,页面,状态码,进入条件,展示行为,允许操作,禁用操作,恢复策略,埋点事件,是否终态,成熟度
STA-00563,SCR-ORDER-002,ANDROID,订单详情,NOT_FOUND,资源不存在、已删除或不再可访问,显示资源状态，移除无效入口,返回来源列表,与当前状态、权限或服务端version冲突的所有写操作,来源列表同步更新,page_state_scr_order_002_not_found,是,FROZEN_V1.2.2
STA-00564,SCR-ORDER-002,ANDROID,订单详情,FORBIDDEN,已认证但无页面或字段权限,展示无权限原因，不泄露资源是否存在,返回,与当前状态、权限或服务端version冲突的所有写操作,权限变化后重新进入,page_state_scr_order_002_forbidden,是,FROZEN_V1.2.2
STA-00565,SCR-ORDER-002,ANDROID,订单详情,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_scr_order_002_error,否,FROZEN_V1.2.2
STA-00566,SCR-ORDER-002,ANDROID,订单详情,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_scr_order_002_offline,否,FROZEN_V1.2.2
STA-00567,SCR-MEMBER-001,ANDROID,会员中心,LOADING,首屏数据请求进行中,显示与最终布局一致的骨架屏,返回,与当前状态、权限或服务端version冲突的所有写操作,失败后显示重试,page_state_scr_member_001_loading,否,FROZEN_V1.2.2
STA-00568,SCR-MEMBER-001,ANDROID,会员中心,CONTENT,核心数据完整且可交互,展示内容并按权限/状态机计算操作入口,页面定义的读写动作,与当前状态、权限或服务端version冲突的所有写操作,刷新或执行操作,page_state_scr_member_001_content,否,FROZEN_V1.2.2
STA-00569,SCR-MEMBER-001,ANDROID,会员中心,STALE_CACHE,展示最近缓存但未验证最新版本,明确标记可能过期，禁用依赖版本的写操作,刷新,与当前状态、权限或服务端version冲突的所有写操作,成功后进入CONTENT,page_state_scr_member_001_stale_cache,否,FROZEN_V1.2.2
STA-00570,SCR-MEMBER-001,ANDROID,会员中心,NOT_FOUND,资源不存在、已删除或不再可访问,显示资源状态，移除无效入口,返回来源列表,与当前状态、权限或服务端version冲突的所有写操作,来源列表同步更新,page_state_scr_member_001_not_found,是,FROZEN_V1.2.2
STA-00571,SCR-MEMBER-001,ANDROID,会员中心,FORBIDDEN,已认证但无页面或字段权限,展示无权限原因，不泄露资源是否存在,返回,与当前状态、权限或服务端version冲突的所有写操作,权限变化后重新进入,page_state_scr_member_001_forbidden,是,FROZEN_V1.2.2
STA-00572,SCR-MEMBER-001,ANDROID,会员中心,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_scr_member_001_error,否,FROZEN_V1.2.2
STA-00573,SCR-MEMBER-001,ANDROID,会员中心,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_scr_member_001_offline,否,FROZEN_V1.2.2
STA-00574,SCR-MEMBER-002,ANDROID,会员购买确认,LOADING,首屏数据请求进行中,显示与最终布局一致的骨架屏,返回,与当前状态、权限或服务端version冲突的所有写操作,失败后显示重试,page_state_scr_member_002_loading,否,FROZEN_V1.2.2
STA-00575,SCR-MEMBER-002,ANDROID,会员购买确认,QUOTE_READY,服务端报价有效,展示最终金额、费用、权益和过期时间,确认下单/返回,与当前状态、权限或服务端version冲突的所有写操作,过期后必须重新报价,page_state_scr_member_002_quote_ready,否,FROZEN_V1.2.2
STA-00576,SCR-MEMBER-002,ANDROID,会员购买确认,SUBMITTING,写请求已提交，结果未确定,锁定同资源写操作，保留输入，展示进度,查询结果/取消（业务允许时）,与当前状态、权限或服务端version冲突的所有写操作,不得重复生成新业务意图,page_state_scr_member_002_submitting,否,FROZEN_V1.2.2
STA-00577,SCR-MEMBER-002,ANDROID,会员购买确认,PAYMENT_PENDING,支付已创建但未确认最终结果,轮询/订阅服务端订单状态,查询/返回,与当前状态、权限或服务端version冲突的所有写操作,不得重复创建订单,page_state_scr_member_002_payment_pending,否,FROZEN_V1.2.2
STA-00578,SCR-MEMBER-002,ANDROID,会员购买确认,SUCCESS,操作成功且服务端已返回事实,展示明确结果并刷新关联数据,继续/返回/查看详情,与当前状态、权限或服务端version冲突的所有写操作,一次性敏感输入立即清除,page_state_scr_member_002_success,是,FROZEN_V1.2.2
STA-00579,SCR-MEMBER-002,ANDROID,会员购买确认,FAILED,业务操作明确失败,展示业务原因和可执行下一步,修改后重试/返回,与当前状态、权限或服务端version冲突的所有写操作,保留非敏感上下文,page_state_scr_member_002_failed,是,FROZEN_V1.2.2
STA-00580,SCR-MEMBER-002,ANDROID,会员购买确认,UNKNOWN,客户端无法确认服务端最终结果,显示处理中并调用查单/查询接口,继续查询/返回,与当前状态、权限或服务端version冲突的所有写操作,禁止直接判定失败并重复扣款,page_state_scr_member_002_unknown,否,FROZEN_V1.2.2
STA-00581,SCR-MEMBER-002,ANDROID,会员购买确认,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_scr_member_002_error,否,FROZEN_V1.2.2
STA-00582,SCR-MEMBER-002,ANDROID,会员购买确认,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_scr_member_002_offline,否,FROZEN_V1.2.2
STA-00583,SCR-MEMBER-003,ANDROID,会员升级,LOADING,首屏数据请求进行中,显示与最终布局一致的骨架屏,返回,与当前状态、权限或服务端version冲突的所有写操作,失败后显示重试,page_state_scr_member_003_loading,否,FROZEN_V1.2.2
STA-00584,SCR-MEMBER-003,ANDROID,会员升级,QUOTE_READY,服务端报价有效,展示最终金额、费用、权益和过期时间,确认下单/返回,与当前状态、权限或服务端version冲突的所有写操作,过期后必须重新报价,page_state_scr_member_003_quote_ready,否,FROZEN_V1.2.2
STA-00585,SCR-MEMBER-003,ANDROID,会员升级,SUBMITTING,写请求已提交，结果未确定,锁定同资源写操作，保留输入，展示进度,查询结果/取消（业务允许时）,与当前状态、权限或服务端version冲突的所有写操作,不得重复生成新业务意图,page_state_scr_member_003_submitting,否,FROZEN_V1.2.2
STA-00586,SCR-MEMBER-003,ANDROID,会员升级,PAYMENT_PENDING,支付已创建但未确认最终结果,轮询/订阅服务端订单状态,查询/返回,与当前状态、权限或服务端version冲突的所有写操作,不得重复创建订单,page_state_scr_member_003_payment_pending,否,FROZEN_V1.2.2
STA-00587,SCR-MEMBER-003,ANDROID,会员升级,SUCCESS,操作成功且服务端已返回事实,展示明确结果并刷新关联数据,继续/返回/查看详情,与当前状态、权限或服务端version冲突的所有写操作,一次性敏感输入立即清除,page_state_scr_member_003_success,是,FROZEN_V1.2.2
STA-00588,SCR-MEMBER-003,ANDROID,会员升级,FAILED,业务操作明确失败,展示业务原因和可执行下一步,修改后重试/返回,与当前状态、权限或服务端version冲突的所有写操作,保留非敏感上下文,page_state_scr_member_003_failed,是,FROZEN_V1.2.2
STA-00589,SCR-MEMBER-003,ANDROID,会员升级,UNKNOWN,客户端无法确认服务端最终结果,显示处理中并调用查单/查询接口,继续查询/返回,与当前状态、权限或服务端version冲突的所有写操作,禁止直接判定失败并重复扣款,page_state_scr_member_003_unknown,否,FROZEN_V1.2.2
STA-00590,SCR-MEMBER-003,ANDROID,会员升级,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_scr_member_003_error,否,FROZEN_V1.2.2
STA-00591,SCR-MEMBER-003,ANDROID,会员升级,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_scr_member_003_offline,否,FROZEN_V1.2.2
STA-00592,SCR-MEMBER-004,ANDROID,会员权益明细,LOADING,首屏数据请求进行中,显示与最终布局一致的骨架屏,返回,与当前状态、权限或服务端version冲突的所有写操作,失败后显示重试,page_state_scr_member_004_loading,否,FROZEN_V1.2.2
STA-00593,SCR-MEMBER-004,ANDROID,会员权益明细,CONTENT,核心数据完整且可交互,展示内容并按权限/状态机计算操作入口,页面定义的读写动作,与当前状态、权限或服务端version冲突的所有写操作,刷新或执行操作,page_state_scr_member_004_content,否,FROZEN_V1.2.2
STA-00594,SCR-MEMBER-004,ANDROID,会员权益明细,STALE_CACHE,展示最近缓存但未验证最新版本,明确标记可能过期，禁用依赖版本的写操作,刷新,与当前状态、权限或服务端version冲突的所有写操作,成功后进入CONTENT,page_state_scr_member_004_stale_cache,否,FROZEN_V1.2.2
STA-00595,SCR-MEMBER-004,ANDROID,会员权益明细,NOT_FOUND,资源不存在、已删除或不再可访问,显示资源状态，移除无效入口,返回来源列表,与当前状态、权限或服务端version冲突的所有写操作,来源列表同步更新,page_state_scr_member_004_not_found,是,FROZEN_V1.2.2
STA-00596,SCR-MEMBER-004,ANDROID,会员权益明细,FORBIDDEN,已认证但无页面或字段权限,展示无权限原因，不泄露资源是否存在,返回,与当前状态、权限或服务端version冲突的所有写操作,权限变化后重新进入,page_state_scr_member_004_forbidden,是,FROZEN_V1.2.2
STA-00597,SCR-MEMBER-004,ANDROID,会员权益明细,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_scr_member_004_error,否,FROZEN_V1.2.2
STA-00598,SCR-MEMBER-004,ANDROID,会员权益明细,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_scr_member_004_offline,否,FROZEN_V1.2.2
STA-00599,SCR-PROP-001,ANDROID,道具商城,LOADING,首屏数据请求进行中,显示与最终布局一致的骨架屏,返回,与当前状态、权限或服务端version冲突的所有写操作,失败后显示重试,page_state_scr_prop_001_loading,否,FROZEN_V1.2.2
STA-00600,SCR-PROP-001,ANDROID,道具商城,CONTENT,核心数据完整且可交互,展示内容并按权限/状态机计算操作入口,页面定义的读写动作,与当前状态、权限或服务端version冲突的所有写操作,刷新或执行操作,page_state_scr_prop_001_content,否,FROZEN_V1.2.2
STA-00601,SCR-PROP-001,ANDROID,道具商城,EMPTY,查询成功但无符合条件的数据,展示业务化空状态、当前筛选和明确下一步,清除筛选/创建/返回,与当前状态、权限或服务端version冲突的所有写操作,修改筛选或执行主行动,page_state_scr_prop_001_empty,否,FROZEN_V1.2.2
STA-00602,SCR-PROP-001,ANDROID,道具商城,REFRESHING,已有内容上执行刷新,保留内容并显示轻量刷新指示,取消刷新,与当前状态、权限或服务端version冲突的所有写操作,失败保留旧数据,page_state_scr_prop_001_refreshing,否,FROZEN_V1.2.2
STA-00603,SCR-PROP-001,ANDROID,道具商城,APPENDING,列表加载下一页,列表尾部加载器；已加载项保持可用,取消翻页,与当前状态、权限或服务端version冲突的所有写操作,失败提供尾部重试,page_state_scr_prop_001_appending,否,FROZEN_V1.2.2
STA-00604,SCR-PROP-001,ANDROID,道具商城,PARTIAL_ERROR,非首屏请求或单模块失败,保留现有内容并在对应区域提示,局部重试,与当前状态、权限或服务端version冲突的所有写操作,成功后回到CONTENT,page_state_scr_prop_001_partial_error,否,FROZEN_V1.2.2
STA-00605,SCR-PROP-001,ANDROID,道具商城,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_scr_prop_001_error,否,FROZEN_V1.2.2
STA-00606,SCR-PROP-001,ANDROID,道具商城,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_scr_prop_001_offline,否,FROZEN_V1.2.2
STA-00607,SCR-PROP-002,ANDROID,我的道具,LOADING,首屏数据请求进行中,显示与最终布局一致的骨架屏,返回,与当前状态、权限或服务端version冲突的所有写操作,失败后显示重试,page_state_scr_prop_002_loading,否,FROZEN_V1.2.2
STA-00608,SCR-PROP-002,ANDROID,我的道具,CONTENT,核心数据完整且可交互,展示内容并按权限/状态机计算操作入口,页面定义的读写动作,与当前状态、权限或服务端version冲突的所有写操作,刷新或执行操作,page_state_scr_prop_002_content,否,FROZEN_V1.2.2
STA-00609,SCR-PROP-002,ANDROID,我的道具,EMPTY,查询成功但无符合条件的数据,展示业务化空状态、当前筛选和明确下一步,清除筛选/创建/返回,与当前状态、权限或服务端version冲突的所有写操作,修改筛选或执行主行动,page_state_scr_prop_002_empty,否,FROZEN_V1.2.2
STA-00610,SCR-PROP-002,ANDROID,我的道具,REFRESHING,已有内容上执行刷新,保留内容并显示轻量刷新指示,取消刷新,与当前状态、权限或服务端version冲突的所有写操作,失败保留旧数据,page_state_scr_prop_002_refreshing,否,FROZEN_V1.2.2
STA-00611,SCR-PROP-002,ANDROID,我的道具,APPENDING,列表加载下一页,列表尾部加载器；已加载项保持可用,取消翻页,与当前状态、权限或服务端version冲突的所有写操作,失败提供尾部重试,page_state_scr_prop_002_appending,否,FROZEN_V1.2.2
STA-00612,SCR-PROP-002,ANDROID,我的道具,PARTIAL_ERROR,非首屏请求或单模块失败,保留现有内容并在对应区域提示,局部重试,与当前状态、权限或服务端version冲突的所有写操作,成功后回到CONTENT,page_state_scr_prop_002_partial_error,否,FROZEN_V1.2.2
